id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
671,"Ophthalmic laboratory technicians    * Contact Lens Cutter* Contact Lens Technician* Eyeglass Assembler* Eyeglass Lens Cutter* Eyeglass Maker* Lens Grinder* Lens Grinder and Polisher* Lens Mounter* Precision Lens Centerer and Edger* Prescription Eyeglass Maker","Ophthalmic laboratory technicians    ",Medical,29.1,32.5,11.8,3.7,"30,960","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
672,"Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher","Data entry keyers    ","Information Technology",203.8,160.6,-21.2,16.8,"30,930","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
673,"Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker","Butchers and meat cutters    ","Skilled Labor - Trades",135.7,143.5,5.8,17.7,"30,890","30,000-49,999","No formal educational credential",8,None,4,"Long-term on-the-job training",3,NULL,NULL
674,"Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver","Etchers and engravers    ","Skilled Labor - Trades",10.6,10.6,0.6,1.3,"30,890","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
675,"Cooling and freezing equipment operators and tenders    * Ammonia Refrigeration Worker* Chiller Operator* Chiller Tender* Freezer Operator* Refrigerating Machine Operator* Refrigeration Operator","Cooling and freezing equipment operators and tenders    ","Skilled Labor - Trades",8.7,8.8,1.4,1,"30,860","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
676,"Painting, coating, and decorating workers    * Ceramic Painter* China Decorator* Glass Decorator* Lacquerer* Sign Painter",Painting,"Skilled Labor - Trades",16.3,16.4,0.9,1.7,"30,820","30,000-49,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
677,"Woodworkers, all other    * Pole Framer* Timber Framer* Wood Carver* Wood Casket Assembler* Wood Veneer Taper",Woodworkers,"Skilled Labor - Trades",12.1,12.5,3.6,1.4,"30,680","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
678,"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman","Agricultural workers",Farming,11.6,12.1,4.4,1.8,"30,600","30,000-49,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
679,"Helpers--electricians    * Electrical Sign Wirer Helper* Electrician's Assistant* House Wirer Helper* Marine Electrician Helper* Stage Electrician Helper* Utilities Ground Worker","Helpers--electricians    ","Skilled Labor - Trades",73.2,80.9,10.6,11.5,"30,540","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
680,"Teachers and instructors, all other    * Substitute Teacher* Tutor","Teachers and instructors",Education,993.9,1,9.9,122.2,"30,310","30,000-49,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
681,"Protective service workers, all other    * Bus Monitor* Playground Monitor* Warrant Server","Protective service workers",Security,133.8,145.1,8.4,35.2,"30,240","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
682,"Weighers, measurers, checkers, and samplers, recordkeeping    * Bean Weigher* Cheese Weigher* Freight Checker* Sample Checker* Scale Attendant* Scale Clerk* Scale Operator* Warehouse Checker* Weighing Station Operator* Wool Sampler",Weighers,Business,75.9,77.3,1.8,7.6,"30,180","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
683,"Concierges    * Activities Concierge* Club Concierge* Concierge* Conference Concierge* Guest Service Supervisor* Hotel Concierge* Hotel Guest Service Agent","Concierges    ",Service,32.5,36.2,11.3,5,"30,150","30,000-49,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
684,"File clerks    * Cut File Clerk* Document Clerk* File Clerk* File Keeper* Index Clerk* Records Clerk","File clerks    ",Government,135,121,-10.4,14.2,"30,120","30,000-49,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
685,"Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver","Agricultural equipment operators    ",Farming,63.9,67.4,5.5,10.2,"30,110","30,000-49,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
686,"Skincare specialists    * Electrolysis Needle Operator* Electrolysis Operator* Electrolysist* Esthetician* Facialist* Licensed Esthetician* Medical Esthetician* Skin Care Technician","Skincare specialists    ",Service,61.3,69.7,13.8,8.1,"30,080","30,000-49,999","Postsecondary nondegree award",5,None,4,None,6,NULL,NULL
687,"Grounds maintenance workers, all other    * Trail Construction Worker* Trail Maintenance Worker* Trailhead Construction Worker* Trailhead Maintenance Worker* Tree Trimmer Helper","Grounds maintenance workers",Service,18.9,20.6,9.2,2.5,"30,060","30,000-49,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
688,"Cleaning, washing, and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator",Cleaning,"Skilled Labor - Trades",17.2,17.3,0.4,2.2,"29,950","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
689,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters    * Gas Main Fitter Helper* Hydraulic Plumber Helper* Industrial Gas Fitter Helper* Marine Pipefitter Helper* Marine Steam Fitter Helper* Pipe Fitter Helper* Plumber Assistant* Plumber Helper* Sewer Pipe Layer Helper* Sprinkler Fitter Helper* Trench Pipe Layer Helper* Water Main Installer Helper",Helpers--pipelayers,"Skilled Labor - Trades",55.5,65.8,18.6,9.5,"29,890","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
690,"Helpers--carpenters    * Beam Builder Helper* Building Carpenter Helper* Carpenter Assistant* Carpenter Helper* Construction Carpenters Helper* Hardwood Floor Installation Helper* House Carpenter Helper","Helpers--carpenters    ","Skilled Labor - Trades",36.7,41.4,12.8,5.9,"29,860","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
691,"Helpers, construction trades, all other    * Boiler Coverer Helper* Bridge Ironworker Helper* Carpet Layer Helper* Cellulose Insulation Helper* Construction Ironworker Helper* Cork Insulator Helper* Drywall Hanger Helper* Drywall Stripper Helper* Drywall Taper Helper* HVAC Sheet Metal Installer Helper* Heat and Frost Insulator Helper* Linoleum Layer Helper* Ornamental Ironworker Helper* Pipe Insulator Helper* Plate Glass Installer Helper* Post Tensioning Ironworker Helper* Rod Buster Helper* She",Helpers,"Skilled Labor - Trades",22.1,24.8,12.1,3.5,"29,660","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
692,"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk","Mail clerks and mail machine operators",Business,95.5,88.4,-7.4,9.4,"29,620","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
693,"Material moving workers, all other    * Freight Elevator Operator","Material moving workers","Skilled Labor - Trades",24.4,26.7,9.3,3.2,"29,610","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
694,"Food and tobacco roasting, baking, and drying machine operators and tenders    * Bean Roaster* Coffee Roaster* Fish Smoker* Food Dehydrator Operator* Grain Roaster* Malt House Kiln Operator* Meat Curer* Meat Smoker* Sausage Smoker* Smokehouse Worker* Tobacco Drier Operator","Food and tobacco roasting","Skilled Labor - Trades",20.1,19.9,-0.8,2.2,"29,410","25,000-29,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
695,"Parts salespersons    * Appliance Parts Counter Clerk* Auto Parts Salesperson* Electronic Parts Salesperson* Parts Clerk* Parts Counter Clerk","Parts salespersons    ",Service,251.9,264.5,5,32.9,"29,380","25,000-29,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
696,"Packaging and filling machine operators and tenders    * Bottle Capper* Bottle Line Worker* Bottle Packer* Can Filler* Can Sealer* Keg Filler* Potato Chip Packaging Machine Operator* Tea Bag Packer","Packaging and filling machine operators and tenders    ","Skilled Labor - Trades",383,389.7,1.7,44.6,"29,350","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
697,"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger","Religious workers",Religious,53.2,57.3,7.7,7.7,"29,310","25,000-29,999","Bachelor's degree",3,None,4,None,6,NULL,NULL
698,"Occupational therapy aides    * Certified Occupational Rehabilitation Aide* OT Aide* Occupational Rehabilitation Aide* Occupational Therapist Aide* Rehabilitation Services Aide","Occupational therapy aides    ",Medical,7.5,9.3,24.7,1.2,"29,200","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
699,"Woodworking machine setters, operators, and tenders, except sawing    * CNC Wood Lathe Operator* Roof Truss Builder* Speed Belt Sander* Tenon Operator* Wood Boring Machine Operator* Wood Dowel Machine Operator* Wood Lathe Operator* Wood Planer","Woodworking machine setters","Skilled Labor - Trades",77.1,77.5,0.6,8.4,"29,110","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
700,"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator","Sawing machine setters","Skilled Labor - Trades",54.8,54.6,-0.3,6.2,"29,080","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
701,"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper","Building cleaning workers",Service,16.2,18.3,12.8,2.4,"29,060","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
702,"Preschool teachers, except special education    * Early Childhood Teacher* Head Start Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Teacher","Preschool teachers",Education,478.5,528.6,10.5,53.6,"28,990","25,000-29,999","Associate's degree",4,None,4,None,6,NULL,NULL
703,"Production workers, all other","Production workers","Skilled Labor - Trades",263.5,275.1,4.4,31.4,"28,890","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
704,"Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer","Animal trainers    ",Service,54.9,61,11.2,7,"28,880","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
705,"Grinding and polishing workers, hand    * Hand Buffer* Hand Sander* Jewelry Grinder* Jewelry Polisher* Knife Grinder* Ring Polisher","Grinding and polishing workers","Skilled Labor - Trades",26.6,21.1,-20.5,2.1,"28,830","25,000-29,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
706,"Helpers--painters, paperhangers, plasterers, and stucco masons    * Billboard Poster Helper* Bridge Painter Helper* Dry Plasterer Helper* Highway Painter Helper* House Painter Helper* Ornamental Plasterer Helper* Plaster Tender* Ship Painter Helper* Swimming Pool Plasterer Helper* Wallpaper Hanger Helper* Wallpaperer Helper",Helpers--painters,"Skilled Labor - Trades",10.9,11.4,4.1,1.6,"28,760","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
707,"Switchboard operators, including answering service    * PBX Operator* Private Branch Exchange Operator* Telephone Answering Service Operator* Telephone Switchboard Operator","Switchboard operators",Communication,93.2,74.7,-19.9,9,"28,700","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
708,"Fabric menders, except garment    * Curtain Mender* Fabric Awning Repairer* Hand-Woven Carpet and Rug Mender* Parachute Repairer* Sail Repairer* Tarp Repairer","Fabric menders","Skilled Labor - Trades",0.7,0.6,-7.3,0.1,"28,640","25,000-29,999","High school diploma or equivalent",7,None,4,"Long-term on-the-job training",3,NULL,NULL
709,"Tailors, dressmakers, and custom sewers    * Alterations Sewer* Alterations Tailor* Bridal Gown Fitter* Coat Cutter* Coat Maker* Couture Dressmaker* Dress Fitter* Fur Tailor* Garment Fitter* Suit Maker* Vest Maker",Tailors,"Skilled Labor - Trades",44.3,39.8,-10.1,4.8,"28,600","25,000-29,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
710,"Fishing and hunting workers","Fishing and hunting workers",Farming,27,29.9,10.8,3.1,"28,530","25,000-29,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
711,"Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator","Machine feeders and offbearers    ","Skilled Labor - Trades",87.7,89.2,1.8,12,"28,510","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
712,"Food batchmakers    * Almond Paste Mixer* Candy Maker* Candy Puller* Cheese Processor* Cottage Cheese Maker* Dough Scaler and Mixer* Frozen Yogurt Maker* Honey Blender* Ice Cream Maker* Liquid Sugar Fortifier* Peanut Butter Maker* Pickle Maker* Relish Maker* Taffy Puller","Food batchmakers    ","Skilled Labor - Trades",153.7,156.4,1.7,21.7,"28,500","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
713,"Helpers--roofers    * Hot Tar Roofer Helper* Industrial Roofer Helper* Residential Roofer Helper* Roofer Assistant* Roofer Helper* Roofing Laborer* Shingles Roofer Helper* Slate Roofer Helper* Terra Cotta Roofer Helper","Helpers--roofers    ","Skilled Labor - Trades",10.2,11.5,12.4,1.6,"28,500","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
714,"Helpers--installation, maintenance, and repair workers    * Automobile Body Repairer Helper* Cable Splicer Helper* Hydroelectric Machinery Mechanic Helper* Locksmith Helper* Mechanic's Assistant* Meter Repairer Helper* Motorboat Mechanic Helper* Powerhouse Mechanic Helper* Streetcar Repairer Helper",Helpers--installation,"Skilled Labor - Trades",120.2,133.5,11.1,17,"28,490","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
715,"Public address system and other announcers    * Emcee* Master of Ceremonies* Public Address Announcer* Ringmaster* Train Announcer* Train Caller","Public address system and other announcers    ",Media,11.4,11.7,2.5,1.1,"28,440","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
716,"Food cooking machine operators and tenders    * Doughnut Machine Operator* Dumpling Machine Operator* Fish Fryer* Food Cooking Machine Operator* Kettle Fry Cook Operator* Pierogi Maker* Potato Chip Frier* Tripe Cooker","Food cooking machine operators and tenders    ","Skilled Labor - Trades",37.2,38.1,2.5,5.2,"28,420","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
717,"Bicycle repairers    * Bicycle Mechanic* Bicycle Repairer* Bicycle Service Technician* Bike Mechanic","Bicycle repairers    ","Skilled Labor - Trades",12.4,16.1,29.3,2.1,"28,390","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
718,"Receptionists and information clerks    * Appointment Clerk* Dental Receptionist* Front Desk Receptionist* Land Leasing Information Clerk","Receptionists and information clerks    ",Business,1,1,9.1,151.1,"28,390","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
719,"Textile bleaching and dyeing machine operators and tenders    * Cloth Dyer* Dye Range Operator* Rug Dyer* Skein Yarn Dyer* Yarn Dyer","Textile bleaching and dyeing machine operators and tenders    ","Skilled Labor - Trades",11.3,9.2,-18.1,1,"28,280","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
720,"Textile winding, twisting, and drawing out machine setters, operators, and tenders    * Rope Machine Setter* Roving Winder* Silk Winding Machine Operator* Twister Operator* Winder Operator","Textile winding","Skilled Labor - Trades",30.8,25.6,-16.8,2.6,"28,270","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
721,"Couriers and messengers    * Bank Courier* Bicycle Messenger* Courier* Court Messenger* Laboratory Courier* Office Messenger* Office Runner","Couriers and messengers    ",Service,95,105.9,11.5,10.1,"28,250","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
722,"Cutters and trimmers, hand    * Fur Trimmer* Hand Cloth Cutter* Hand Fabric Cutter* Portable Machine Cutter","Cutters and trimmers","Skilled Labor - Trades",14.7,13.2,-10.1,1.4,"28,210","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
723,"Tellers    * Bank Teller* Commercial Teller* Exchange Teller* Foreign Banknote Teller* Foreign Exchange Clerk* Loan Teller* Money Order Clerk* Receiving Teller* Savings Teller* Securities Teller","Tellers    ",Finance,502.7,460.9,-8.3,51.5,"28,110","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
724,"Cooks, all other    * Falafel Cart Cook* Fraternity House Cook",Cooks,Culinary,17.8,19.4,9,2.7,"27,990","25,000-29,999","No formal educational credential",8,None,4,"Moderate-term on-the-job training",4,NULL,NULL
725,"Textile knitting and weaving machine setters, operators, and tenders    * Crochet Machine Operator* Jacquard Loom Weaver* Knitter Operator* Knitting Machine Operator* Loom Operator* Looping Machine Operator* Warp Knitting Machine Operator","Textile knitting and weaving machine setters","Skilled Labor - Trades",22.2,17.9,-19.3,2.1,"27,960","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
726,"Transportation attendants, except flight attendants    * Dining Car Steward* Ship Steward* Sleeping Car Service Attendant* Train Attendant","Transportation attendants",Transportation,18.5,20,8.4,2.7,"27,830","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
727,"Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer","Merchandise displayers and window trimmers    ","Art & Design",141.4,146,3.2,13.6,"27,680","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
728,"Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer","Landscaping and groundskeeping workers    ",Service,1,1,11.3,163,"27,670","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
729,"Forest and conservation workers    * Forest Nursery Worker* Forester Aide* Forestry Laborer* Rangelands Conservation Laborer* Reforestation Worker* Seedling Puller* Wetlands Conservation Laborer","Forest and conservation workers    ",Farming,14.3,14,-2.4,2.1,"27,650","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
730,"Crossing guards    * Construction Site Crossing Guard* Crossing Guard* School Crossing Guard* School Traffic Guard","Crossing guards    ",Security,74.3,80.6,8.5,14.5,"27,630","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
731,"Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer","Slaughterers and meat packers    ","Skilled Labor - Trades",82.5,83,0.6,10.1,"27,530","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
732,"Nursing assistants    * C.N.A.* Certified Nurse Aide* Certified Nursing Assistant* Hospital Aide* Hospital Attendant* Nursing Aide* Nursing Attendant* Nursing Care Attendant","Nursing assistants    ",Medical,1,1,11.5,195.1,"27,520","25,000-29,999","Postsecondary nondegree award",5,None,4,None,6,NULL,NULL
733,"Photographic process workers and processing machine operators    * Digital Imaging Technician* Digital Photo Printer* Digital Photo Technician* Digital Retoucher* Film Developing Machine Operator* Film Printer* Film Process Operator* Film Processor* Photo Lab Specialist* Photo Lab Technician* Photo Machine Operator* Photo Print Specialist* Photo Retoucher* Print Retoucher","Photographic process workers and processing machine operators    ","Skilled Labor - Trades",26.9,22,-18.1,3.3,"27,480","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
734,"Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer","Shoe machine operators and tenders    ","Skilled Labor - Trades",3.6,3.3,-9.5,0.4,"27,420","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
735,"Orderlies    * Emergency Room Orderly* Hospital Orderly* Medical Orderly* Orderly* Surgical Orderly","Orderlies    ",Medical,54,58.4,8.1,6.7,"27,180","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
736,"Psychiatric aides    * Mental Health Orderly* Psychiatric Aide* Psychiatric Nursing Aide* Psychiatric Orderly* Psychiatric Technician Assistant","Psychiatric aides    ",Medical,73.6,77.7,5.5,8.8,"27,110","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
737,"Demonstrators and product promoters    * Home Demonstrator* Home Service Demonstrator* Hostess Party Sales Representative* In-Store Demonstrator","Demonstrators and product promoters    ","Sales & Marketing",94.7,100.9,6.6,17.1,"27,060","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
738,"Gaming service workers, all other    * Card Table Attendant* Pit Clerk* Poker Prop Player* Proposition Player* Shill","Gaming service workers",Service,12.5,12.6,0.7,1.9,"27,040","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
739,"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Stock Mover* Van Loader* Wharf Laborer","Laborers and freight","Skilled Labor - Trades",2,2,7.6,388.4,"27,040","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
740,"Security guards    * Armed Guard* Bank Guard* Bodyguard* Bouncer* Private Watchman* Security Officer","Security guards    ",Security,1,1,6.3,157.5,"26,900","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
741,"Textile cutting machine setters, operators, and tenders    * Bedspread Cutter* Canvas Cutter* Cloth Cutter* Industrial Fabric Cutter* Textile Slitting Machine Operator* Twill Cutter* Upholstery Cutter* Welt Trimming Machine Operator","Textile cutting machine setters","Skilled Labor - Trades",15,12.6,-15.8,1.6,"26,890","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
742,"Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Advisor* Residential Director* Residential Life Director* Sorority Mother","Residential advisors    ",Education,118.8,134.1,12.9,22.5,"26,830","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
743,"Umpires, referees, and other sports officials    * Athletic Events Scorer* Baseball Umpire* Diving Judge* Dressage Judge* Equestrian Events Judge* Handicapper* Horse Show Judge* Paddock Judge* Pit Steward* Placing Judge* Race Starter",Umpires,Athletics,21.1,22.7,7.6,3,"26,800","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
744,"Tire repairers and changers    * Auto Tire Worker* Tire Balancer* Tire Fixer* Tire Mechanic* Tire Mounter* Tire Servicer* Tire Technician","Tire repairers and changers    ","Skilled Labor - Trades",111.7,112.5,0.7,13.8,"26,710","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
745,"Textile, apparel, and furnishings workers, all other    * Apparel Embroidery Digitizer* Feltmaker* Hat Blocking Machine Operator* Swatch Maker* Tassel Making Machine Operator",Textile,"Skilled Labor - Trades",16.3,15.7,-4.1,1.8,"26,670","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
746,"Motor vehicle operators, all other    * Assembly Line Driver* Ice-Resurfacing Machine Operators* Motorcycle Deliverer* Street Cleaning Equipment Operator* Street Sweeper Operator","Motor vehicle operators",Transportation,56.2,62,10.3,10.7,"26,640","25,000-29,999","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
747,"Dietetic technicians    * Clinical Dietetic Technician* Cook Chill Technician* DTR* Dietary Aide* Dietary Technician* Dietetic Technician* Nutrition Technician* Registered Diet Technician","Dietetic technicians    ",Medical,33.4,36.5,9.3,3,"26,500","25,000-29,999","Associate's degree",4,None,4,None,6,NULL,NULL
748,"Floral designers    * Corsage Maker* Floral Arranger* Floral Artist* Floral Decorator* Florist* Florist Designer* Flower Arranger","Floral designers    ","Art & Design",55,51.4,-6.4,4.5,"26,350","25,000-29,999","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
749,"Gaming cage workers    * Cage Cashier* Casino Cage Cashier* Casino Cashier* Gaming Cage Cashier* Gaming Cashier","Gaming cage workers    ",Service,19,19.3,1.4,3,"26,320","25,000-29,999","High school diploma or equivalent",7,None,4,"Short-term on-the-job training",5,NULL,NULL
750,"Teacher assistants    * Basic Skills Improvement Program Instructional Aide* Classroom Aide* Educational Assistant Teacher* Gifted and Talented Student Education Aide* Instructional Aide* Instructional Assistant* Learning Support Aide* Paraeducator* Public Health Training Assistant* Reading Aide* Special Education Aide* Special Education Classroom Aide* Special Education Instructional Assistant* Special Education Paraeducator* Special Education Paraprofessional* Special Education Teaching Assist","Teacher assistants    ",Education,1,1,8.4,147.9,"26,260","25,000-29,999","Some college, no degree",6,None,4,None,6,NULL,NULL
